	mean_fit_time	mean_score_time	params	mean_test_neg_mean_absolute_error	std_test_neg_mean_absolute_error	rank_test_neg_mean_absolute_error	mean_train_neg_mean_absolute_error	std_train_neg_mean_absolute_error
45	0.006868422031402588	0.0029237747192382814	{'svr__C': 6, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5337428805291303	0.2782952404406485	1	-0.024927970475700577	0.004486738310243575
44	0.008003246784210206	0.004209303855895996	{'svr__C': 6, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5337428805291303	0.2782952404406485	1	-0.024927970475700577	0.004486738310243575
43	0.005579459667205811	0.002886044979095459	{'svr__C': 6, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.5344767906182232	0.2781033246453081	3	-0.020370968784758796	0.004587705482408122
46	0.005499434471130371	0.002653670310974121	{'svr__C': 6, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.5345776664406554	0.2811985501823814	4	-0.10192417275336352	0.00442572562586458
42	0.00570073127746582	0.0028443217277526857	{'svr__C': 6, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.5351918450780289	0.2779087446247445	5	-0.01670403699906776	0.004640970805082637
40	0.005186820030212402	0.0024509072303771974	{'svr__C': 5, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.5409169903364369	0.27724917277554373	6	-0.10313252092417105	0.004989549835314587
22	0.005643999576568604	0.0027034997940063475	{'svr__C': 2, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.5425080354447458	0.30405372779970224	7	-0.14990261682143308	0.008573918082768545
21	0.005235910415649414	0.0021430492401123048	{'svr__C': 2, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5432767006219776	0.32680382470715463	8	-0.0906062912884055	0.009185411186871112
20	0.0050882697105407715	0.0023161768913269043	{'svr__C': 2, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5432767006219776	0.32680382470715463	8	-0.0906062912884055	0.009185411186871112
19	0.005563914775848389	0.002387034893035889	{'svr__C': 2, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.5440318002425759	0.3290341682458819	10	-0.0872499652833904	0.00926145777070673
18	0.005391144752502441	0.0025356531143188475	{'svr__C': 2, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.5447125394322028	0.3307494344322353	11	-0.08456248282509984	0.009370268228788264
28	0.006152188777923584	0.0030364990234375	{'svr__C': 3, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.545589466500459	0.27943625849073866	12	-0.12440364451572102	0.008197116475809962
38	0.006114399433135987	0.003119754791259766	{'svr__C': 5, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5457146920225886	0.2717449750797254	13	-0.02913352432074673	0.005770120464802837
39	0.005843710899353027	0.002142632007598877	{'svr__C': 5, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5457146920225886	0.2717449750797254	13	-0.02913352432074673	0.005770120464802837
37	0.0052917242050170895	0.0028600215911865233	{'svr__C': 5, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.5465409669433718	0.27175079101998934	15	-0.02477322888628635	0.005969669011091496
36	0.005195581912994384	0.00260617733001709	{'svr__C': 5, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.5471734772304219	0.2718858542292717	16	-0.021280004317796135	0.006116499293900038
16	0.005286455154418945	0.002543318271636963	{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.5478768419530953	0.3538004944279182	17	-0.20712755062450702	0.011247383168983752
34	0.00539320707321167	0.002566695213317871	{'svr__C': 4, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.5487542377552809	0.27357612455416314	18	-0.10959475423168305	0.007006132794501666
27	0.0055920958518981935	0.0025624632835388184	{'svr__C': 3, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5491521114173337	0.2864732090967019	19	-0.05526009437910665	0.008582533631585138
26	0.005484199523925782	0.002695143222808838	{'svr__C': 3, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5491521114173337	0.2864732090967019	19	-0.05526009437910665	0.008582533631585138
25	0.006556785106658936	0.0027097344398498537	{'svr__C': 3, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.5499152267493626	0.28760319949444263	21	-0.05140462083179666	0.008550913464415567
24	0.0073111534118652345	0.004066431522369384	{'svr__C': 3, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.5503359207033116	0.2886496335393137	22	-0.04836963011652697	0.008572816739754782
15	0.005415141582489014	0.0023641705513000487	{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5511921567346162	0.3830534199275769	23	-0.17212927891326224	0.012533091178749931
14	0.006014382839202881	0.002708280086517334	{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5511921567346162	0.3830534199275769	23	-0.17212927891326224	0.012533091178749931
33	0.005640435218811035	0.0025859355926513674	{'svr__C': 4, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5522498917372307	0.27688583576575726	25	-0.039913973531711944	0.007679092359476128
32	0.005532753467559814	0.002274179458618164	{'svr__C': 4, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.5522498917372307	0.27688583576575726	25	-0.039913973531711944	0.007679092359476128
13	0.0061698317527771	0.0023989319801330567	{'svr__C': 1, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.5523236013002533	0.38478865813653257	27	-0.16981799693960994	0.01255481469438701
31	0.005882179737091065	0.0026201725006103514	{'svr__C': 4, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.5527530808700651	0.27747353883395875	28	-0.03578555663430895	0.007801224748089174
12	0.005569303035736084	0.0023006439208984376	{'svr__C': 1, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.5529845513925284	0.38638586103419115	29	-0.16792450687147192	0.012559640213364351
30	0.005508553981781006	0.0027675628662109375	{'svr__C': 4, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.5531428030223374	0.2780173595625952	30	-0.0324536440354215	0.007922556798422966
35	0.005510306358337403	0.002317631244659424	{'svr__C': 4, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7028557137250993	0.3852538983340476	31	-0.6949083122517676	0.019638023896087455
41	0.005327463150024414	0.0023903489112854005	{'svr__C': 5, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7028557137250993	0.3852538983340476	31	-0.6949083122517676	0.019638023896087455
23	0.0060204267501831055	0.0028833746910095215	{'svr__C': 2, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7028557137250993	0.3852538983340476	31	-0.6949083122517676	0.019638023896087455
47	0.005251491069793701	0.002422821521759033	{'svr__C': 6, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7028557137250993	0.3852538983340476	31	-0.6949083122517676	0.019638023896087455
17	0.005177211761474609	0.0026361227035522463	{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7028557137250993	0.3852538983340476	31	-0.6949083122517676	0.019638023896087455
29	0.006110870838165283	0.0028204917907714844	{'svr__C': 3, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7028557137250993	0.3852538983340476	31	-0.6949083122517676	0.019638023896087455
11	0.005346190929412842	0.0021953701972961424	{'svr__C': 0.1, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7783414011275893	0.3510547866315083	37	-0.7777616501909013	0.014117073737361997
5	0.011872243881225587	0.0037335991859436036	{'svr__C': 0.01, 'svr__epsilon': 1, 'svr__kernel': 'rbf'}	-0.7984118973283064	0.34130679500952243	38	-0.798838036874945	0.015305362199346612
6	0.006447851657867432	0.003252720832824707	{'svr__C': 0.1, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.8051845911906202	0.4559042708987409	39	-0.5721200539085012	0.01960317699252067
7	0.005579662322998047	0.002465677261352539	{'svr__C': 0.1, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.8059043589500339	0.45517617007213	40	-0.5721980181158076	0.019636488943315114
9	0.007483065128326416	0.002569723129272461	{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.8067748429428369	0.45381659846084754	41	-0.5723180545375456	0.01968461229716091
8	0.006748759746551513	0.00427473783493042	{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.8067748429428369	0.45381659846084754	41	-0.5723180545375456	0.01968461229716091
0	0.005468690395355224	0.0027527451515197755	{'svr__C': 0.01, 'svr__epsilon': 0.001, 'svr__kernel': 'rbf'}	-0.8776774027480165	0.48682944165102926	43	-0.7346533155021293	0.021208396699810696
1	0.005335581302642822	0.0022529006004333497	{'svr__C': 0.01, 'svr__epsilon': 0.005, 'svr__kernel': 'rbf'}	-0.8776983147457121	0.486814990932556	44	-0.7346676618452965	0.021214114746057583
3	0.006385993957519531	0.00330655574798584	{'svr__C': 0.01, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.8783446669673255	0.4863237105870553	45	-0.7347176057354584	0.021245667317871694
2	0.005442380905151367	0.002115750312805176	{'svr__C': 0.01, 'svr__epsilon': 0.01, 'svr__kernel': 'rbf'}	-0.8783446669673255	0.4863237105870553	45	-0.7347176057354584	0.021245667317871694
10	0.00527496337890625	0.003184211254119873	{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.8815196437466906	0.44853808972842074	47	-0.5765878314579298	0.019076044033573752
4	0.011191511154174804	0.004772281646728516	{'svr__C': 0.01, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf'}	-0.9584445417922416	0.48650406292678694	48	-0.7388159807053877	0.020492316914783943
